linkId,refnodeid,nrefnodeid,linklength,shapepoints
915822238,850490860,946681843,37.815,41.88562:-87.6533|41.88596:-87.65331
916176732,946910421,946910422,21.127,41.88233:-87.66057|41.88252:-87.66057
819133186,868824589,876878736,9.972,41.88431:-87.66353|41.88436:-87.66363
1221488792,805743149,1158881376,22.683,41.89562:-87.65444|41.89578:-87.65427
1168591858,868824587,1125945701,31.179,41.88604:-87.66244|41.88632:-87.66246
946217374,968418392,32050811,85.275,41.88425:-87.65984|41.88426:-87.65881
19811332,32050653,32050654,80.065,41.88985:-87.66954|41.89057:-87.66955
19813403,32051705,32051707,96.042,41.88045:-87.64964|41.88046:-87.64848
19812629,32051647,32051648,7.784,41.88422:-87.65559|41.88429:-87.65559
19813468,312084637,32041851,101.218,41.88022:-87.69105|41.88113:-87.69108
19809124,32041933,32041955,206.099,41.89841:-87.69184|41.89843:-87.68935
993133309,1003981697,1003981705,76.536,41.92747:-87.67555|41.92757:-87.67575|41.92784:-87.67633
19817417,32007016,32007012,76.394,41.85056:-87.78966|41.85055:-87.78999|41.85054:-87.7903|41.8506:-87.79057
1161182124,32038780,1121326804,84.524,41.89223:-87.74816|41.89299:-87.74818
1192881660,32038709,1141045976,40.039,41.88173:-87.75267|41.88209:-87.75268
1219158823,32038752,1157347341,24.856,41.89494:-87.75561|41.89495:-87.75531
858076768,904212971,32049725,57.991,41.84996:-87.63914|41.84997:-87.63844
915792888,946661237,32053151,38.918,41.85178:-87.63477|41.85213:-87.63477
19837937,32037897,32037899,112.356,41.85204:-87.74673|41.85305:-87.74677
915789089,946658429,946658428,199.066,41.85673:-87.74628|41.85852:-87.74632
916077294,32037733,946850083,50.532,41.85667:-87.75057|41.85668:-87.74996
1220669522,1158359597,1158359600,19.05,41.85054:-87.74332|41.85054:-87.74309
1168652893,32049927,1125982504,103.441,41.87915:-87.65193|41.88008:-87.65196
1221354305,1158797970,1158798988,17.791,41.86645:-87.66695|41.86661:-87.66695
1102850765,1082998227,32048883,232.73,41.87548:-87.66944|41.87548:-87.66913|41.87553:-87.66663
1168642052,1125976214,1112300422,52.18,41.8671:-87.65484|41.86711:-87.65421
19866706,32052744,32052752,52.288,41.90605:-87.63841|41.90652:-87.63843
916076164,32040661,946849396,37.258,41.87496:-87.68967|41.87496:-87.68922
1198165276,1144204712,32055630,53.824,41.92169:-87.6565|41.92171:-87.65585
1128323143,1099758952,32051381,389.123,41.90212:-87.66122|41.90216:-87.66123|41.90247:-87.66126|41.90286:-87.66129|41.90344:-87.66129|41.9039:-87.66124|41.90448:-87.66116|41.90484:-87.66113|41.90527:-87.66114|41.90561:-87.66119
996167636,1006074335,1006074343,45.511,41.91217:-87.66043|41.91217:-87.65988
858585069,32051134,904637073,33.234,41.90527:-87.66944|41.90546:-87.66975
734982328,32049325,818315577,132.403,41.84643:-87.6432|41.84656:-87.64281|41.84664:-87.64261|41.84668:-87.64252|41.84676:-87.64241|41.84684:-87.64231|41.84699:-87.64221|41.8471:-87.64215|41.84715:-87.64212|41.84721:-87.64211
788048534,855159419,305447168,35.582,41.84814:-87.64649|41.84821:-87.64649|41.84846:-87.64649
858076771,32049516,904212972,51.156,41.84906:-87.63846|41.84952:-87.63847
855128679,901813508,32038849,22.381,41.88055:-87.74034|41.88056:-87.74007
916170535,910934316,946906611,23.184,41.8729:-87.66737|41.8729:-87.66709
125161284,305444266,32048956,11.119,41.86695:-87.65668|41.86705:-87.65668
719551198,807567513,32049820,61.317,41.86707:-87.65592|41.86709:-87.65518
868990679,911923452,911923445,40.039,41.8674:-87.65028|41.86776:-87.65029
916170565,32048781,946906630,164.596,41.86691:-87.67012|41.86822:-87.67014|41.86839:-87.67015
956131216,975930822,946754823,52.262,41.92792:-87.66527|41.92839:-87.66527
1007429127,805760231,1014163926,36.732,41.91839:-87.65947|41.91872:-87.65949
16900582,17152899,32051408,60.777,41.90837:-87.66316|41.90879:-87.66363
776345226,847095273,32052563,6.075,41.90693:-87.65536|41.90697:-87.65541
776345244,847095280,32052643,105.614,41.91251:-87.65542|41.91305:-87.65437
867683417,911000559,911000555,18.033,41.91021:-87.65386|41.91035:-87.65397
